,Address,Area,Beds,Locality,Price
0,RedDesert,,,RockSpringsWY82901,"$20,000"
1,520wasatch,,3,RockSpringsWY82901,"$120,000"
2,375HStreet,"1,324",2,RockSpringsWY82901,"$99,900"
3,516DewarDrive,"1,680",2,RockSpringsWY82901,"$118,500"
4,2916Plumtree1A,,3,RockSpringsWY82901,"$99,900"
5,1020McKinleyMarchant,"1,500",4,RockSpringsWY82901,"$179,900"
6,1353WalnutSt.,"2,112",4,RockSpringsWY82901,"$130,000"
7,2024ReaganAvenue,"1,380",3,RockSpringsWY82901,"$90,250"
8,1411LowellAve,"1,944",3,RockSpringsWY82901,"$134,000"
9,394Gannett,"1,344",4,RockSpringsWY82901,"$320,000"
10,845RidgeAve839and843Ridge,"1,584",5,RockSpringsWY82901,"$169,900"
11,1700SwansonDr#102B,"1,120",3,RockSpringsWY82901,"$24,000"
